library,live,toBeta
_openmp_mutex,DNE,4.5
_tflow_select,2.3.0,DNE
absl-py,0.8.1,DNE
aiocontextvars,DNE,0.2.2
alembic,1.1.0,1.3.3
altair,3.2.0,DNE
apsg,DNE,0.6.4
arcgis,DNE,1.8.2
asn1crypto,0.24.0,DNE
astor,0.7.1,DNE
attrs,19.1.0,19.3.0
basemap,1.2.1,1.3.0
beautifulsoup4,4.8.1,4.9.1
blosc,1.17.0,1.19.0
bokeh,1.3.4,2.0.1
boost-cpp,1.70.0,1.72.0
branca,0.3.1,0.4.1
bs4,DNE,4.9.1
c-ares,1.15.0,DNE
ca-certificates,2019.9.11,2020.6.20
cartopy,0.17.0,0.18.0
certifi,2019.9.11,2020.6.20
cffi,1.12.3,1.13.2
cftime,1.0.3.4,1.2.1
click,7.0,7.1.2
cloudpickle,1.2.2,1.5.0
conda,4.7.10,4.7.12
conda-build,3.18.10,3.19.2
conda-package-handling,1.4.0,1.6.0
configurable-http-proxy,4.1.0,4.2.0
contextily,1.0rc2,1.0.0
cryptography,2.7,2.8
curl,7.65.3,7.71.1
cython,0.29.13,0.29.21
cytoolz,0.10.0,0.10.1
dask,DNE,2.21.0
dask-core,2.6.0,2.21.0
decorator,4.4.0,4.4.1
defusedxml,0.5.0,0.6.0
dill,DNE,0.3.2
distributed,DNE,2.21.0
dnbresuse,DNE,0.4.0
earthpy,DNE,0.9.2
elementpath,DNE,1.4.6
empty-trash,DNE,0.1.0
esda,DNE,2.3.1
expat,2.2.5,2.2.9
feather-format,DNE,0.4.1
ffmpeg,4.1.3,4.2.3
fftw,DNE,3.3.8
filelock,3.0.10,3.0.12
fiona,1.8.6,1.8.13
folium,0.10.0,0.11.0
font-ttf-dejavu-sans-mono,DNE,2.37
font-ttf-inconsolata,DNE,2.001
font-ttf-source-code-pro,DNE,2.030
font-ttf-ubuntu,DNE,0.83
fonts-conda-forge,DNE,1
freetype,2.10.0,2.10.2
fribidi,DNE,1.0.10
fsspec,DNE,0.7.4
future,0.18.1,0.18.2
gast,0.3.2,DNE
gdal,2.4.1,3.0.4
gdk-pixbuf,DNE,2.38.2
geofeather,DNE,0.3.0
geojson,DNE,2.5.0
geomet,DNE,0.2.0.post2
geopandas,0.6.1,0.8.1
geopy,1.20.0,2.0.0
geos,3.7.2,3.8.1
geotiff,1.4.3,1.5.1
ghostscript,DNE,9.22
giddy,DNE,2.3.3
giflib,5.1.7,5.2.1
glib,2.58.3,2.65.0
gmp,6.1.2,6.2.0
gnutls,3.6.5,3.6.13
gobject-introspection,DNE,1.64.1
google-pasta,0.1.7,DNE
graphviz,DNE,2.42.3
grpcio,1.23.0,DNE
heapdict,DNE,1.0.1
html2text,DNE,2018.1.9
imagecodecs-lite,DNE,2019.12.3
imageio,2.6.1,2.9.0
imagemagick,DNE,7.0.10_6
importlib_metadata,DNE,1.5.0
inflect,DNE,4.0.0
ipykernel,5.1.2,5.1.4
ipympl,DNE,0.5.7
ipython,6.2.1,7.11.1
jaraco.itertools,DNE,5.0.0
