library,live,toBeta
_openmp_mutex,DNE,4.5
aiocontextvars,DNE,0.2.2
alembic,1.0.11,1.4.2
asn1crypto,0.24.0,DNE
attrs,19.1.0,19.3.0
beautifulsoup4,DNE,4.9.1
bleach,3.1.0,3.1.5
brotlipy,DNE,0.7.0
ca-certificates,2019.9.11,2020.6.20
certifi,2019.9.11,2020.6.20
cffi,1.12.3,1.14.0
conda,4.7.10,4.8.2
conda-build,DNE,3.19.2
conda-package-handling,1.3.11,1.6.0
configurable-http-proxy,4.1.0,4.2.1
cryptography,2.7,2.9.2
dbus,1.13.6,DNE
decorator,4.4.0,4.4.2
defusedxml,0.5.0,0.6.0
dnbresuse,DNE,0.4.0
empty-trash,DNE,0.1.0
expat,2.2.5,DNE
filelock,DNE,3.0.12
fontconfig,2.13.1,DNE
freetype,2.10.0,DNE
gettext,0.19.8.1,DNE
glib,2.58.3,DNE
glob2,DNE,0.7
gst-plugins-base,1.14.5,DNE
gstreamer,1.14.5,DNE
idna,2.8,2.9
importlib-metadata,DNE,1.6.1
importlib_metadata,DNE,1.6.1
ipykernel,5.1.1,5.3.0
ipython,6.2.1,7.15.0
jedi,0.14.1,0.17.0
jinja2,2.10.1,2.11.2
jpeg,9c,DNE
json5,0.8.5,0.9.4
jsonschema,3.0.1,3.2.0
jupyter-console,5.2.0,6.1.0
jupyter_client,5.3.1,6.1.3
jupyter_core,4.4.0,4.6.3
jupyter_telemetry,DNE,0.0.5
jupyterhub-base,DNE,1.1.0
jupyterlab,1.1.3,2.1.3
jupyterlab_server,1.0.0,1.1.5
krb5,1.16.3,1.17.1
ld_impl_linux-64,DNE,2.34
libclang,9.0.0,DNE
libcurl,7.65.3,7.69.1
libedit,3.1.20170329,3.1.20191231
libgcc-ng,9.1.0,9.2.0
libgomp,DNE,9.2.0
liblief,DNE,0.10.1
libllvm9,9.0.0,DNE
libpng,1.6.37,DNE
libssh2,1.8.2,1.9.0
libstdcxx-ng,9.1.0,9.2.0
libuuid,2.32.1,DNE
libuv,DNE,1.34.0
libxcb,1.13,DNE
libxkbcommon,0.8.4,DNE
libxml2,2.9.9,2.9.10
lz4-c,1.8.3,1.9.2
mako,1.0.10,1.1.0
nbconvert,5.5.0,5.6.1
nbexchange,DNE,0.5.2
nbformat,4.4.0,5.0.6
nbgitpuller,0.7.2,0.8.0
nbgrader,0.5.5,0.7.0.dev0
nodejs,11.14.0,13.13.0
notebook,6.0.0,6.0.3
nspr,4.20,DNE
nss,3.46,DNE
openssl,1.1.1c,1.1.1g
packaging,DNE,20.4
pandoc,2.7.3,2.9.2.1
parso,0.5.1,0.7.0
patchelf,DNE,0.11
pcre,8.43,DNE
pexpect,4.7.0,4.8.0
pip,19.2.1,20.1.1
pkginfo,DNE,1.5.0.1
prometheus_client,0.7.1,0.8.0
prompt-toolkit,1.0.18,3.0.5
psutil,DNE,5.7.2
psycopg2-binary,DNE,2.8.5
pthread-stubs,0.4,DNE
py-lief,DNE,0.10.1
pycparser,2.19,2.20
pycurl,7.43.0.2,7.43.0.5
pygments,2.4.2,2.6.1
pyopenssl,19.0.0,19.1.0
pyparsing,DNE,2.4.7
pyqt,5.12.3,DNE
pyqt5-sip,4.19.18,DNE
pyqtwebengine,5.12.1,DNE
pyrsistent,0.15.3,0.16.0
pysocks,1.7.0,1.7.1
python,3.7.3,3.7.6
python-dateutil,2.8.0,2.8.1
python-json-logger,DNE,0.1.11
python-libarchive-c,2.8,2.9
python_abi,DNE,3.7
pytz,DNE,2020.1
pyyaml,DNE,5.3.1
pyzmq,18.0.2,19.0.1
qt,5.12.5,DNE
qtconsole,4.5.5,4.7.5
qtpy,DNE,1.9.0
rapidfuzz,DNE,0.9.1
requests,2.22.0,2.23.0
ripgrep,DNE,12.1.1
rise,5.5.1,5.6.1
ruamel.yaml,DNE,0.16.6
ruamel.yaml.clib,DNE,0.2.0
ruamel_yaml,0.15.71,0.15.80
sentry-sdk,DNE,0.9.0
setuptools,41.0.1,47.1.1
simplegeneric,0.8.1,DNE
six,1.12.0,1.15.0
soupsieve,DNE,2.0.1
sqlite,3.29.0,3.30.1
terminado,0.8.2,0.8.3
testpath,0.4.2,0.4.4
tk,8.6.9,8.6.10
tornado,6.0.3,6.0.4
tqdm,4.32.2,4.46.1
traitlets,4.3.2,4.3.3
tree-page-graphics,0.0.1,0.1.0
urllib3,1.25.3,1.25.9
wcwidth,0.1.7,0.2.4
wheel,0.33.4,0.34.2
xorg-libxau,1.0.9,DNE
xorg-libxdmcp,1.1.3,DNE
xz,5.2.4,5.2.5
yaml,0.1.7,0.2.5
zipp,DNE,3.1.0
zstd,1.4.0,1.4.5
