library,live,toBeta
_openmp_mutex,DNE,4.5
_r-mutex,DNE,1.0.1
aiocontextvars,DNE,0.2.2
alembic,1.1.0,1.4.1
asn1crypto,0.24.0,DNE
attrs,19.1.0,19.3.0
beautifulsoup4,4.7.1,4.9.1
binutils_impl_linux-64,DNE,2.33.1
binutils_linux-64,DNE,2.33.1
blas,DNE,2.14
bleach,3.1.0,3.1.3
blosc,1.17.0,1.19.0
bokeh,1.2.0,2.0.1
bwidget,DNE,1.9.14
bzip2,1.0.6,1.0.8
ca-certificates,2019.6.16,2020.6.20
certifi,2019.6.16,2020.6.20
cffi,1.12.3,1.14.0
cftime,DNE,1.2.1
click,DNE,7.1.1
cloudpickle,1.2.1,1.5.0
colormath,DNE,3.0.0
conda,4.7.11,4.8.2
conda-build,3.18.9,3.19.2
conda-env,2.6.0,DNE
conda-package-handling,1.4.1,1.6.0
configurable-http-proxy,4.1.0,4.2.0
cryptography,2.7,2.8
curl,7.60.0,7.69.1
cython,DNE,0.29.21
cytoolz,0.10.0,0.10.1
dask,DNE,2.11.0
dask-core,2.3.0,2.11.0
decorator,4.4.0,4.4.2
defusedxml,0.5.0,0.6.0
dill,DNE,0.3.2
distributed,DNE,2.12.0
dnbresuse,DNE,0.4.0
elementpath,DNE,1.4.6
empty-trash,DNE,0.1.0
expat,2.2.5,2.2.9
ffmpeg,4.1.3,4.3
fftw,DNE,3.3.8
filelock,3.0.10,3.0.12
font-ttf-dejavu-sans-mono,DNE,2.37
font-ttf-inconsolata,DNE,2.001
font-ttf-source-code-pro,DNE,2.030
font-ttf-ubuntu,DNE,0.83
fonts-conda-forge,DNE,1
fribidi,DNE,1.0.5
fsspec,DNE,0.6.2
gcc_impl_linux-64,DNE,7.3.0
gcc_linux-64,DNE,7.3.0
gdk-pixbuf,DNE,2.38.2
gfortran_impl_linux-64,DNE,7.3.0
gfortran_linux-64,DNE,7.3.0
ghostscript,DNE,9.22
giflib,5.1.9,5.2.1
gmp,6.1.2,6.2.0
gnutls,3.6.5,3.6.13
gobject-introspection,DNE,1.64.1
graphite2,1.3.11,1.3.13
graphviz,DNE,2.42.3
gsl,2.1,2.6
gxx_impl_linux-64,DNE,7.3.0
gxx_linux-64,DNE,7.3.0
h5py,2.9.0,2.10.0
hdf4,DNE,4.2.13
hdf5,1.10.4,1.10.6
heapdict,DNE,1.0.1
html5lib,1.0.1,DNE
icu,58.2,64.2
idna,2.8,2.9
imagecodecs-lite,DNE,2019.12.3
imageio,2.5.0,2.8.0
imagemagick,DNE,7.0.10_24
importlib-metadata,DNE,1.5.0
importlib_metadata,DNE,1.5.0
ipykernel,5.1.2,5.1.4
ipympl,DNE,0.5.7
ipython,6.2.1,7.13.0
ipywidgets,7.4.2,7.5.1
jbig,DNE,2.1
