library,live,toBeta
_openmp_mutex,DNE,4.5
aiohttp,3.6.1,3.6.2
alembic,1.1.0,1.4.1
asn1crypto,0.24.0,DNE
attrs,19.1.0,19.3.0
beautifulsoup4,4.8.0,4.9.1
binutils_impl_linux-64,2.31.1,2.33.1
binutils_linux-64,2.31.1,2.33.1
bleach,3.1.0,3.1.3
blosc,DNE,1.19.0
bokeh,DNE,2.1.1
boost-cpp,1.70.0,1.72.0
bwidget,1.9.11,1.9.14
ca-certificates,2019.9.11,2020.6.20
certifi,2019.9.11,2020.6.20
cffi,1.12.3,1.14.0
cftime,DNE,1.2.0
click,DNE,7.1.2
cloudpickle,DNE,1.5.0
conda,4.7.10,4.8.2
conda-build,3.18.9,3.19.2
conda-package-handling,1.4.0,1.6.0
configurable-http-proxy,4.1.0,4.2.0
cryptography,2.7,2.8
curl,7.65.3,7.68.0
cycler,DNE,0.10.0
cython,DNE,0.29.21
cytoolz,DNE,0.10.1
dask,DNE,2.20.0
dask-core,DNE,2.20.0
decorator,4.4.0,4.4.2
defusedxml,0.5.0,0.6.0
dill,DNE,0.3.2
distributed,DNE,2.20.0
elementpath,DNE,1.4.6
expat,2.2.5,2.2.9
fastcache,DNE,1.1.0
ffmpeg,DNE,4.2.3
filelock,3.0.10,3.0.12
font-ttf-dejavu-sans-mono,DNE,2.37
font-ttf-inconsolata,DNE,2.001
font-ttf-source-code-pro,DNE,2.030
font-ttf-ubuntu,DNE,0.83
fonts-conda-forge,DNE,1
fsspec,DNE,0.7.4
gdk-pixbuf,2.36.12,2.38.2
geos,3.7.2,3.8.1
giflib,5.1.7,5.2.1
gmp,DNE,6.2.0
gmpy2,DNE,2.1.0b1
gnutls,DNE,3.6.13
gobject-introspection,1.58.2,1.64.1
graphviz,2.40.1,2.42.3
gsl,2.5,2.6
h5py,DNE,2.10.0
heapdict,DNE,1.0.1
idna,2.8,2.9
imagecodecs-lite,DNE,2019.12.3
imageio,DNE,2.9.0
imagemagick,7.0.8_68,7.0.10_6
importlib-metadata,DNE,1.5.0
importlib_metadata,DNE,1.5.0
ipykernel,5.1.2,5.1.4
ipympl,DNE,0.5.6
ipython,7.8.0,7.13.0
jasper,DNE,1.900.1
jedi,0.15.1,0.16.0
jinja2,2.10.1,2.11.1
joblib,DNE,0.16.0
json5,0.8.5,0.9.0
jsonschema,3.0.2,3.2.0
jupyter-server-proxy,1.1.0,1.5.0
jupyter_client,5.3.1,6.0.0
jupyter_console,6.0.0,6.1.0
jupyter_core,4.4.0,4.6.3
jupyter_telemetry,DNE,0.0.5
jupyterhub,1.0.0,1.1.0
jupyterhub-base,DNE,1.1.0
jupyterlab,1.1.3,2.0.1
jupyterlab_server,1.0.6,1.0.7
kealib,1.4.10,1.4.13
kiwisolver,DNE,1.2.0
krb5,1.16.3,1.16.4
lame,DNE,3.100
ld_impl_linux-64,DNE,2.33.1
libclang,DNE,9.0.1
libcurl,7.65.3,7.68.0
libgcc-ng,9.1.0,9.2.0
libgdal,3.0.1,3.0.4
libgomp,DNE,9.2.0
liblapacke,DNE,3.8.0
libllvm8,DNE,8.0.1
libllvm9,DNE,9.0.1
libnetcdf,4.6.2,4.7.4
libopencv,DNE,4.2.0
libpq,11.5,12.2
libprotobuf,DNE,3.12.3
librsvg,2.46.0,2.49.3
libstdcxx-ng,9.1.0,9.2.0
libtiff,4.0.10,4.1.0
libuv,DNE,1.34.0
libv8,DNE,7.5.288.30
libwebp-base,DNE,1.1.0
libxkbcommon,DNE,0.10.0
libxml2,2.9.9,2.9.10
libxslt,DNE,1.1.33
llvmlite,DNE,0.31.0
locket,DNE,0.2.0
lxml,DNE,4.5.2
make,4.2.1,4.3
matplotlib,DNE,3.2.2
matplotlib-base,DNE,3.2.2
mock,DNE,4.0.2
mpc,DNE,1.1.0
mpfr,DNE,4.0.2
mpld3,DNE,0.5.1
mpmath,DNE,1.1.0
msgpack-python,DNE,1.0.0
multidict,4.5.2,4.7.6
nbconvert,5.6.0,5.6.1
nbformat,4.4.0,5.0.4
netcdf4,DNE,1.5.3
nettle,DNE,3.4.1
networkx,2.3,2.4
nltk,DNE,3.4.4
nodejs,11.14.0,13.10.1
nose,DNE,1.3.7
notebook,6.0.0,6.0.3
nspr,DNE,4.26
nss,DNE,3.47
numba,DNE,0.48.0
numexpr,DNE,2.7.1
numpy,1.17.2,1.18.5
olefile,DNE,0.46
opencv,DNE,4.2.0
openh264,DNE,2.1.1
openssl,1.1.1c,1.1.1g
packaging,DNE,20.4
pandas,DNE,1.0.5
pandoc,2.7.3,2.9.2
parso,0.5.1,0.6.2
partd,DNE,1.1.0
patchelf,0.10,0.11
patsy,DNE,0.5.1
pcre,8.41,8.44
pexpect,4.7.0,4.8.0
pillow,DNE,7.1.2
pip,19.2.1,20.0.2
plotly,DNE,4.8.2
postgresql,11.5,12.2
proj,DNE,6.3.1
proj4,6.1.1,DNE
prompt-toolkit,DNE,3.0.4
prompt_toolkit,2.0.9,3.0.4
protobuf,DNE,3.12.3
psutil,5.6.3,5.7.0
py-opencv,DNE,4.2.0
pycparser,2.19,2.20
pycurl,7.43.0.2,7.43.0.5
pygments,2.4.2,2.6.1
pyopenssl,19.0.0,19.1.0
pyparsing,DNE,2.4.7
pyqt,5.9.2,5.12.3
pyqt5-sip,DNE,4.19.18
pyqtchart,DNE,5.12
pyqtwebengine,DNE,5.12.1
pyrsistent,0.15.4,0.15.7
pysocks,1.7.0,1.7.1
pytables,DNE,3.6.1
python,3.7.3,3.7.6
python-dateutil,2.8.0,2.8.1
python-graphviz,DNE,0.14.1
python-json-logger,DNE,0.1.11
python-libarchive-c,2.8,2.9
python_abi,DNE,3.7
pytz,2019.3,2020.1
pywavelets,DNE,1.1.1
pyyaml,5.1.2,5.3.1
pyzmq,18.0.2,19.0.0
qt,5.9.7,5.12.5
qtconsole,4.5.5,4.7.5
qtpy,DNE,1.9.0
quantecon,DNE,0.4.8
r-arm,1.10_1,1.11_1
r-arrayhelpers,1.0_20160527,1.1_0
r-backports,1.1.4,1.1.5
r-base,3.6.1,3.6.3
