library,live,toBeta
_openmp_mutex,DNE,4.5
aiocontextvars,DNE,0.2.2
alembic,1.1.0,1.4.2
asn1crypto,0.24.0,DNE
attrs,19.1.0,19.3.0
backcall,0.1.0,0.2.0
beautifulsoup4,DNE,4.9.1
bleach,3.1.0,3.1.5
blosc,DNE,1.19.0
bokeh,DNE,2.0.1
brotli,DNE,1.0.7
brotlipy,DNE,0.7.0
brunsli,DNE,0.1
ca-certificates,2019.6.16,2020.6.20
cairo,DNE,1.16.0
certifi,2019.6.16,2020.6.20
cffi,1.12.3,1.14.0
cftime,DNE,1.2.1
charls,DNE,2.1.0
click,DNE,7.1.2
cloudpickle,DNE,1.5.0
conda,4.6.14,4.8.3
conda-build,DNE,3.19.2
conda-env,2.6.0,DNE
conda-package-handling,1.4.1,1.6.0
configurable-http-proxy,4.1.0,4.2.1
cryptography,2.7,3.0
curl,DNE,7.71.1
cycler,DNE,0.10.0
cython,DNE,0.29.21
cytoolz,DNE,0.10.1
dask,DNE,2.21.0
dask-core,DNE,2.21.0
decorator,4.4.0,4.4.2
defusedxml,0.5.0,0.6.0
dill,DNE,0.3.2
distributed,DNE,2.21.0
dnbresuse,DNE,0.4.0
elementpath,DNE,1.4.6
empty-trash,DNE,0.1.0
expat,2.2.5,2.2.9
fastcache,DNE,1.1.0
ffmpeg,DNE,4.3
fftw,DNE,3.3.8
filelock,DNE,3.0.12
font-ttf-dejavu-sans-mono,DNE,2.37
font-ttf-inconsolata,DNE,2.001
font-ttf-source-code-pro,DNE,2.030
font-ttf-ubuntu,DNE,0.83
fonts-conda-forge,DNE,1
freetype,2.10.0,2.10.2
fribidi,DNE,1.0.10
fsspec,DNE,0.7.4
gdk-pixbuf,DNE,2.38.2
ghostscript,DNE,9.22
giflib,DNE,5.2.1
glib,2.58.3,2.65.0
glob2,DNE,0.7
gmp,DNE,6.2.0
gmpy2,DNE,2.1.0b1
gnutls,DNE,3.6.13
gobject-introspection,DNE,1.64.1
graphite2,DNE,1.3.13
graphviz,DNE,2.42.3
h5py,DNE,2.10.0
harfbuzz,DNE,2.4.0
hdf4,DNE,4.2.13
hdf5,DNE,1.10.6
heapdict,DNE,1.0.1
idna,2.8,2.10
imagecodecs,DNE,2020.5.30
imageio,DNE,2.9.0
imagemagick,DNE,7.0.10_24
importlib-metadata,DNE,1.7.0
importlib_metadata,DNE,1.7.0
ipykernel,5.1.2,5.3.3
ipympl,DNE,0.5.7
ipython,6.2.1,7.16.1
jasper,DNE,1.900.1
jbig,DNE,2.1
jedi,0.15.1,0.17.2
jinja2,2.10.1,2.11.2
joblib,DNE,0.16.0
jpeg,9c,9d
json5,0.8.5,0.9.4
jsonschema,3.0.2,3.2.0
jupyter-console,5.2.0,DNE
jupyter_client,5.3.1,6.1.6
jupyter_console,DNE,6.1.0
jupyter_core,4.4.0,4.6.3
jupyter_telemetry,DNE,0.0.5
jupyterhub,1.0.0,1.1.0
jupyterhub-base,DNE,1.1.0
jupyterlab,1.0.9,2.0.1
jupyterlab_server,1.0.6,1.2.0
jxrlib,DNE,1.1
kiwisolver,DNE,1.2.0
krb5,1.16.3,1.17.1
lame,DNE,3.100
lcms2,DNE,2.11
ld_impl_linux-64,DNE,2.34
lerc,DNE,2.2
libaec,DNE,1.0.4
libblas,DNE,3.8.0
libcblas,DNE,3.8.0
libclang,DNE,9.0.1
libcroco,DNE,0.6.13
libcurl,7.65.3,7.71.1
libedit,3.1.20170329,3.1.20191231
libgcc-ng,9.1.0,9.2.0
libgfortran-ng,DNE,7.5.0
libgomp,DNE,9.2.0
liblapack,DNE,3.8.0
liblapacke,DNE,3.8.0
liblief,DNE,0.10.1
libllvm9,DNE,9.0.1
libnetcdf,DNE,4.7.4
libopenblas,DNE,0.3.10
libopencv,DNE,4.4.0
libprotobuf,DNE,3.12.3
librsvg,DNE,2.49.3
libssh2,1.8.2,1.9.0
libstdcxx-ng,9.1.0,9.2.0
libtiff,DNE,4.1.0
libtool,DNE,2.4.6
libuv,DNE,1.34.0
libwebp,DNE,1.1.0
libwebp-base,DNE,1.1.0
libxkbcommon,DNE,0.10.0
libxml2,2.9.9,2.9.10
libxslt,DNE,1.1.33
libzopfli,DNE,1.0.3
llvmlite,DNE,0.33.0
locket,DNE,0.2.0
lxml,DNE,4.5.2
lz4-c,1.8.3,1.9.2
matplotlib,DNE,3.3.0
matplotlib-base,DNE,3.3.0
mock,DNE,4.0.2
mpc,DNE,1.1.0
mpfr,DNE,4.0.2
mpld3,DNE,0.5.1
mpmath,DNE,1.1.0
msgpack-python,DNE,1.0.0
nbconvert,5.6.0,5.6.1
nbexchange,DNE,0.5.2
nbformat,4.4.0,5.0.7
nbgitpuller,0.7.1,0.8.0
nbgrader,0.5.5,0.7.0.dev0
ncurses,6.1,6.2
netcdf4,DNE,1.5.3
nettle,DNE,3.4.1
networkx,DNE,2.4
nltk,DNE,3.4.4
nodejs,11.14.0,13.13.0
notebook,5.7.8,6.0.3
nspr,DNE,4.26
nss,DNE,3.47
numba,DNE,0.50.1
numexpr,DNE,2.7.1
numpy,DNE,1.19.0
olefile,DNE,0.46
opencv,DNE,4.4.0
openh264,DNE,2.1.1
openjpeg,DNE,2.3.1
openssl,1.1.1c,1.1.1g
packaging,DNE,20.4
pandas,DNE,1.0.5
pandoc,2.7.3,2.10
pango,DNE,1.42.4
parso,0.5.1,0.7.0
partd,DNE,1.1.0
patchelf,DNE,0.11
patsy,DNE,0.5.1
pcre,8.41,8.44
perl,DNE,5.26.2
pexpect,4.7.0,4.8.0
pillow,DNE,7.2.0
pip,19.2.3,20.1.1
pixman,DNE,0.38.0
pkg-config,DNE,0.29.2
pkginfo,DNE,1.5.0.1
plotly,DNE,4.9.0
prometheus_client,0.7.1,0.8.0
prompt-toolkit,1.0.16,3.0.5
prompt_toolkit,DNE,3.0.5
protobuf,DNE,3.12.3
psutil,DNE,5.7.2
psycopg2-binary,DNE,2.8.5
py-lief,DNE,0.10.1
py-opencv,DNE,4.4.0
pycparser,2.19,2.20
pycurl,7.43.0.2,7.43.0.5
pygments,2.4.2,2.6.1
pyopenssl,19.0.0,19.1.0
pyparsing,DNE,2.4.7
pyqt,5.9.2,5.12.3
pyqt5-sip,DNE,4.19.18
pyqtchart,DNE,5.12
pyqtwebengine,DNE,5.12.1
pyrsistent,0.15.4,0.16.0
pysocks,1.7.0,1.7.1
pytables,DNE,3.6.1
python,3.7.3,3.7.6
python-dateutil,2.8.0,2.8.1
python-graphviz,DNE,0.14.1
python-json-logger,DNE,0.1.11
python-libarchive-c,2.8,2.9
python_abi,DNE,3.7
pytz,DNE,2020.1
pywavelets,DNE,1.1.1
pyyaml,DNE,5.3.1
pyzmq,18.0.2,19.0.1
qt,5.9.7,5.12.5
qtconsole,4.5.5,4.7.5
qtpy,DNE,1.9.0
rapidfuzz,DNE,0.9.1
requests,2.22.0,2.24.0
retrying,DNE,1.3.3
ripgrep,DNE,12.1.1
rise,5.5.1,5.6.1
ruamel.yaml,DNE,0.16.6
ruamel.yaml.clib,DNE,0.2.0
ruamel_yaml,0.15.71,0.15.80
scikit-image,DNE,0.17.2
scikit-learn,DNE,0.23.1
scipy,DNE,1.5.1
seaborn,DNE,0.10.1
seaborn-base,DNE,0.10.1
sentry-sdk,DNE,0.9.0
setuptools,41.2.0,49.2.0
simplegeneric,0.8.1,DNE
sip,4.19.8,DNE
six,1.12.0,1.15.0
snappy,DNE,1.1.8
sortedcontainers,DNE,2.2.2
soupsieve,DNE,2.0.1
spectral,DNE,0.21
sqlite,3.29.0,3.32.3
statsmodels,DNE,0.11.1
sympy,DNE,1.6.1
tblib,DNE,1.6.0
terminado,0.8.2,0.8.3
testpath,0.4.2,0.4.4
textblob,DNE,0.15.3
threadpoolctl,DNE,2.1.0
tifffile,DNE,2020.7.17
tk,8.6.9,8.6.10
toolz,DNE,0.10.0
tornado,6.0.3,6.0.4
tqdm,4.35.0,4.48.0
traitlets,4.3.2,4.3.3
tree-page-graphics,0.0.1,0.1.0
typing_extensions,DNE,3.7.4.2
unixodbc,DNE,2.3.7
urllib3,1.25.3,1.25.9
vega,DNE,3.4.0
vincent,DNE,0.4.4
wcwidth,0.1.7,0.2.5
wheel,0.33.6,0.34.2
x264,DNE,1!152.20180806
xlrd,DNE,1.2.0
xmlschema,DNE,1.2.2
xorg-kbproto,DNE,1.0.7
xorg-libice,DNE,1.0.10
xorg-libsm,DNE,1.2.3
xorg-libx11,DNE,1.6.9
xorg-libxext,DNE,1.3.4
xorg-libxpm,DNE,3.5.13
xorg-libxrender,DNE,0.9.10
xorg-libxt,DNE,1.1.5
xorg-renderproto,DNE,0.11.1
xorg-xextproto,DNE,7.3.0
xorg-xproto,DNE,7.0.31
xz,5.2.4,5.2.5
yaml,0.1.7,0.2.5
zfp,DNE,0.5.5
zict,DNE,2.0.0
zipp,DNE,3.1.0
zstd,1.4.0,1.4.5
